Name,Code,AltName,AltCode
Acadian Flycatcher,ACFL,Empidonax virescens,acafly
Alder Flycatcher,ALFL,Empidonax alnorum,aldfly
American Avocet,AMAV,Recurvirostra americana,ameavo
American Bittern,AMBI,Botaurus lentiginosus,amebit
American Bullfrog,FROG-BULL,Lithobates catesbeianus,FROG-BULL
American Coot,AMCO,Fulica americana,y00475
American Crow,AMCR,Corvus brachyrhynchos,amecro
American Dipper,AMDI,Cinclus mexicanus,amedip
American Golden-Plover,AMGP,Pluvialis dominica,amgplo
American Goldfinch,AGOL,Spinus tristis,amegfi
American Goshawk,AGOS,Astur atricapillus,norgos
American Kestrel,AMKE,Falco sparverius,amekes
American Pipit,AMPI,Anthus rubescens,amepip
American Redstart,AMRE,Setophaga ruticilla,amered
American Robin,AMRO,Turdus migratorius,amerob
American Three-toed Woodpecker,ATTW,Picoides dorsalis,attwoo1
American Toad,TOAD-AMER,Anaxyrus americanus,TOAD-AMER
American Tree Sparrow,ATSP,Spizelloides arborea,amtspa
American Wigeon,AMWI,Mareca americana,amewig
American Woodcock,AMWO,Scolopax minor,amewoo
Ancient Murrelet,ANMU,Synthliboramphus antiquus,ancmur
Anna's Hummingbird,ANHU,Calypte anna,annhum
Arctic Tern,ARTE,Sterna paradisaea,arcter
Baird's Sandpiper,BASA,Calidris bairdii,baisan
Baird's Sparrow,BAIS,Centronyx bairdii,baispa
Bald Eagle,BAEA,Haliaeetus leucocephalus,baleag
Baltimore Oriole,BAOR,Icterus galbula,balori
Band-tailed Pigeon,BTPI,Patagioenas fasciata,batpig1
Bank Swallow,BANS,Riparia riparia,banswa
Barn Owl,BANO,Tyto furcata,brnowl
Barn Swallow,BARS,Hirundo rustica,barswa
Barred Owl,BADO,Strix varia,brdowl
Barrow's Goldeneye,BAGO,Bucephala islandica,bargol
Bay-breasted Warbler,BBWA,Setophaga castanea,babwar
Bell's Vireo,BEVI,Vireo bellii,belvir
Belted Kingfisher,BEKI,Megaceryle alcyon,belkin1
Bewick's Wren,BEWR,Thryomanes bewickii,bewwre
Bicknell's Thrush,BITH,Catharus bicknelli,bicthr
Black Oystercatcher,BLOY,Haematopus bachmani,blkoys
Black Rail,BLRA,Laterallus jamaicensis,blkrai
Black Swift,BLSW,Cypseloides niger,blkswi
Black Tern,BLTE,Chlidonias niger,blkter
Black Turnstone,BLTU,Arenaria melanocephala,blktur
Black-and-white Warbler,BAWW,Mniotilta varia,bawwar
Black-backed Woodpecker,BBWO,Picoides arcticus,bkbwoo
Black-bellied Plover,BBPL,Pluvialis squatarola,bkbplo
Black-billed Cuckoo,BBCU,Coccyzus erythropthalmus,bkbcuc
Black-billed Magpie,BBMA,Pica hudsonia,bkbmag1
Black-capped Chickadee,BCCH,Poecile atricapillus,bkcchi
Black-crowned Night Heron,BCNH,Nycticorax nycticorax,bcnher
Black-footed Albatross,BFAL,Phoebastria nigripes,bkfalb
Black-headed Grosbeak,BHGR,Pheucticus melanocephalus,bkhgro
Black-throated Blue Warbler,BTBW,Setophaga caerulescens,btbwar
Black-throated Gray Warbler,BTYW,Setophaga nigrescens,btywar
Black-throated Green Warbler,BTNW,Setophaga virens,btnwar
Blackburnian Warbler,BLBW,Setophaga fusca,bkbwar
Blackpoll Warbler,BLPW,Setophaga striata,bkpwar
Blue Jay,BLJA,Cyanocitta cristata,blujay
Blue-gray Gnatcatcher,BGGN,Polioptila caerulea,buggna
Blue-headed Vireo,BHVI,Vireo solitarius,buhvir
Blue-winged Teal,BWTE,Spatula discors,buwtea
Blue-winged Warbler,BWWA,Vermivora cyanoptera,buwwar
Bobolink,BOBO,Dolichonyx oryzivorus,boboli
Bohemian Waxwing,BOWA,Bombycilla garrulus,bohwax
Bonaparte's Gull,BOGU,Chroicocephalus philadelphia,bongul
Boreal Chickadee,BOCH,Poecile hudsonicus,borchi2
Boreal Chorus Frog,FROG-BOCH,Pseudacris maculata,FROG-BOCH
Boreal Owl,BOOW,Aegolius funereus,borowl
Brant,BRAN,Branta bernicla,brant
Brewer's Blackbird,BRBL,Euphagus cyanocephalus,brebla
Brewer's Sparrow,BRSP,Spizella breweri,brespa
Broad-winged Hawk,BWHA,Buteo platypterus,brwhaw
Brown Creeper,BRCR,Certhia americana,brncre
Brown Thrasher,BRTH,Toxostoma rufum,brnthr
Brown-headed Cowbird,BHCO,Molothrus ater,bnhcow
Bufflehead,BUFF,Bucephala albeola,buffle
Bullock's Oriole,BUOR,Icterus bullockii,bulori
Bushtit,BUSH,Psaltriparus minimus,bushti
California Gull,CAGU,Larus californicus,calgul
California Quail,CAQU,Callipepla californica,calqua
Canada Goose,CANG,Branta canadensis,cangoo
Canada Jay,CAJA,Perisoreus canadensis,gryjay
Canada Warbler,CAWA,Cardellina canadensis,canwar
Canadian Toad,TOAD-CANA,Anaxyrus hemiophrys,TOAD-CANA
Canine,Canine,Canine,Canine
Cape May Warbler,CMWA,Setophaga tigrina,camwar
Carolina Wren,CARW,Thryothorus ludovicianus,carwre
Caspian Tern,CATE,Hydroprogne caspia,caster1
Cassin's Auklet,CAAU,Ptychoramphus aleuticus,casauk
Cassin's Finch,CAFI,Haemorhous cassinii,casfin
Cassin's Vireo,CAVI,Vireo cassinii,casvir
Cedar Waxwing,CEDW,Bombycilla cedrorum,cedwax
Cerulean Warbler,CERW,Setophaga cerulea,cerwar
Chestnut-backed Chickadee,CBCH,Poecile rufescens,chbchi
Chestnut-collared Longspur,CCLO,Calcarius ornatus,chclon
Chestnut-sided Warbler,CSWA,Setophaga pensylvanica,chswar
Chimney Swift,CHSW,Chaetura pelagica,chiswi
Chipping Sparrow,CHSP,Spizella passerina,chispa
Chuck-will's-widow,CWWI,Antrostomus carolinensis,chwwid
Clapper Rail,CLRA,Rallus crepitans,clarai11
Clark's Nutcracker,CLNU,Nucifraga columbiana,clanut
Clay-colored Sparrow,CCSP,Spizella pallida,clcspa
Cliff Swallow,CLSW,Petrochelidon pyrrhonota,cliswa
Common Gallinule,COGA,Gallinula galeata,comgal1
Common Goldeneye,COGO,Bucephala clangula,comgol
Common Grackle,COGR,Quiscalus quiscula,comgra
Common Loon,COLO,Gavia immer,comloo
Common Merganser,COME,Mergus merganser,commer
Common Murre,COMU,Uria aalge,commur
Common Nighthawk,CONI,Chordeiles minor,comnig
Common Poorwill,COPO,Phalaenoptilus nuttallii,compoo
Common Raven,CORA,Corvus corax,comrav
Common Tern,COTE,Sterna hirundo,comter
Common Yellowthroat,COYE,Geothlypis trichas,comyel
Connecticut Warbler,CONW,Oporornis agilis,conwar
Cooper's Hawk,COHA,Astur cooperii,coohaw
Dark-eyed Junco,DEJU,Junco hyemalis,daejun
Dickcissel,DICK,Spiza americana,dickci
Double-crested Cormorant,DCCO,Nannopterum auritum,doccor
Downy Woodpecker,DOWO,Dryobates pubescens,dowwoo
Dunlin,DUNL,Calidris alpina,dunlin
Dusky Flycatcher,DUFL,Empidonax oberholseri,dusfly
Eared Grebe,EAGR,Podiceps nigricollis,eargre
Eastern Bluebird,EABL,Sialia sialis,easblu
Eastern Kingbird,EAKI,Tyrannus tyrannus,easkin
Eastern Meadowlark,EAME,Sturnella magna,easmea
Eastern Phoebe,EAPH,Sayornis phoebe,easpho
Eastern Screech-Owl,EASO,Megascops asio,easowl1
Eastern Towhee,EATO,Pipilo erythrophthalmus,eastow
Eastern Whip-poor-will,EWPW,Antrostomus vociferus,easwpw1
Eastern Wood-Pewee,EAWP,Contopus virens,eawpew
Eurasian Collared-Dove,EUCD,Streptopelia decaocto,eucdov
European Starling,EUST,Sturnus vulgaris,eursta
